CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
806,11/2/2011,70,N,G1094,G0014
810,11/2/2011,40,N,G1080,G0052
812,11/2/2011,40,EG,,
816,11/2/2011,40,N,G1015,G0014
817,11/2/2011,40,FAB,,
821,11/2/2011,70,N,G1075,G0052
822,11/2/2011,70,N,,
823,11/2/2011,70,N,G1093,G0014
824,11/2/2011,90,N,G1128,G0049
825,11/2/2011,50,N,G1089,G0038
826,11/2/2011,50,FEN,,
828,11/2/2011,50,FEN,,
830,11/2/2011,70,N,G1037,G0061
831,11/2/2011,70,FEN,,
834,11/2/2011,70,N,G1077,G0052
839,11/2/2011,50,N,G1037,G0061
840,11/2/2011,50,N,G1043,G0001
841,11/2/2011,40,N,G1018,G0001
843,11/2/2011,70,N,G1037,G0061
846,11/2/2011,50,N,G1037,G0061
847,11/2/2011,70,N,,
848,11/2/2011,70,N,G1055,G0014
849,11/2/2011,90,N,,
850,11/2/2011,70,N,G1078,G0052
851,11/2/2011,50,N,G1011,G0002
852,11/2/2011,50,N,G1089,G0038
853,11/2/2011,50,N,G1081,G0052
857,11/2/2011,40,N,G1100,G0038
859,11/2/2011,70,N,G1077,G0052
860,11/2/2011,50,N,G1089,G0038
861,11/2/2011,70,N,G1013,G0015
864,11/2/2011,50,N,G1113,G0010
867,11/2/2011,50,FAB,,
870,11/2/2011,90,FAB,G1120,G0026
871,11/2/2011,50,N,G1081,G0052
872,11/2/2011,40,FAB,,
874,11/2/2011,40,N,G1074,G0052
878,11/2/2011,70,N,G1062,G0015
879,11/2/2011,70,N,G1022,G0015
880,11/2/2011,50,N,G1113,G0010
883,11/2/2011,50,N,G1011,G0002
884,11/2/2011,50,N,G1089,G0038
888,11/2/2011,70,GSB,G1123,G0030
890,11/2/2011,50,N,G1089,G0038
891,11/2/2011,90,N,G1055,G0014
893,11/2/2011,50,FAB,,
894,11/2/2011,70,N,G1062,G0015
895,11/2/2011,90,EG,,
898,11/2/2011,40,N,G1100,G0038
904,11/2/2011,80,N,,
907,11/2/2011,70,GSB,G1123,G0030
908,11/2/2011,70,N,,
909,11/2/2011,80,N,G1083,G0052
910,11/2/2011,40,N,,
915,11/2/2011,91,FAB,G0066,G0006
918,11/2/2011,40,N,G1080,G0052
920,11/2/2011,70,N,G0016,G0038
923,11/2/2011,50,FEN,,
926,11/2/2011,80,GSB,G1123,G0030
929,11/2/2011,80,N,G1135,G0070
930,11/2/2011,50,N,G1089,G0038
945,11/2/2011,50,N,G1012,G1137
949,11/2/2011,70,N,,
950,11/2/2011,90,GSB,G1123,G0030
953,11/2/2011,91,FAB,G0035,G1052
954,11/2/2011,50,N,G1089,G0038
956,11/2/2011,40,GSB,G1123,G0030
959,11/2/2011,50,N,G1089,G0038
962,11/2/2011,50,N,G1037,G0061
963,11/2/2011,40,GSB,G1123,G0030
969,11/2/2011,40,N,G1075,G0052
971,11/2/2011,90,N,G1055,G0014
973,11/2/2011,70,N,G1077,G0052
977,11/2/2011,50,N,G1012,G1137
980,11/2/2011,91,FAB,,
981,11/2/2011,90,N,,
982,11/2/2011,70,N,G1012,G1137
983,11/2/2011,70,GSB,G1123,G0030
987,11/2/2011,80,N,G1015,G0014
989,11/2/2011,40,N,G1107,G1016
991,11/2/2011,70,N,G1064,G0050
1006,11/2/2011,70,N,G0016,G0038
1007,11/2/2011,40,N,G1079,G0052
1008,11/2/2011,50,N,G1089,G0038
1012,11/2/2011,80,N,G1015,G0014
1015,11/2/2011,50,N,G1081,G0052
1017,11/2/2011,50,N,,
1022,11/2/2011,91,FAB,,
1030,11/2/2011,50,N,G1089,G0038
1031,11/2/2011,40,N,G1012,G1137
1032,11/2/2011,50,N,G1094,G0014
1034,11/2/2011,50,N,G1089,G0038
1037,11/2/2011,91,FAB,G1015,G0014
1038,11/2/2011,50,N,G1089,G0038
1039,11/2/2011,50,N,G1082,G0052
1042,11/2/2011,50,N,g1109,G1016
1044,11/2/2011,50,GSB,G1123,G0030
1045,11/2/2011,40,FEN,,
1048,11/2/2011,70,GSB,G1123,G0030
1052,11/2/2011,70,N,G1062,G0015
1053,11/2/2011,70,N,G1076,G0052
1055,11/2/2011,40,N,G1074,G0052
1060,11/2/2011,50,N,G1094,G0014
1063,11/2/2011,40,N,,
1069,11/2/2011,90,GSB,G1123,G0030
1073,11/2/2011,40,N,G1080,G0052
1074,11/2/2011,70,GSB,G1123,G0030
1075,11/2/2011,90,FEN,,
1076,11/2/2011,50,FAB,,
1080,11/2/2011,50,FP,,
1082,11/2/2011,91,FAB,G1125,G0041
1085,11/2/2011,70,N,G1011,G0002
1086,11/2/2011,40,N,G1037,G0061
1087,11/2/2011,80,N,G1083,G0052
1088,11/2/2011,40,N,G1097,G0014
1090,11/2/2011,91,FAB,G1120,G0026
1094,11/2/2011,91,FAB,,
1095,11/2/2011,90,N,G1106,G1016
1096,11/2/2011,40,N,G1079,G0052
1098,11/2/2011,50,N,G1089,G0038
1102,11/2/2011,70,N,G1077,G0052
1103,11/2/2011,70,N,G1128,G0049
